team,name,region,sid,ign,na_games,eu_games,kr_games,total_games
TSM,Bjergsen,EUW,27369058,soerenbjerg,0,5,0,5
TSM,Bjergsen,NA,49159160,soerenbjerg,194,0,0,194
TSM,Biofrost,NA,22478427,biofrost,124,0,0,124
TSM,Hauntzer,NA,46531569,ikingvex,619,0,0,619
TSM,Svenskeren,TR,2411323,jgking,0,0,0,600
TSM,Dyrus,NA,5908,dyrus,354,0,0,354
C9,Sneaky,NA,51405,c9sneaky,366,0,0,366
C9,Meteos,NA,390600,c9meteos,301,0,0,302
C9,Meteos,NA,44979324,c10meteos,3,0,0,3
C9,Meteos,NA,44979352,shortdog,33,0,0,33
C9,Jensen,NA,68479258,c9jensen,266,0,0,266
C9,Impact,NA,19874401,c9inches,28,0,0,28
C9,Smoothie,NA,20823651,smoothie,269,0,0,269
C9,Hai,NA,492066,c9hai,308,0,0,308
Berkeley,DeChosen6,NA,42805794,dechosen6,194,0,0,194
Berkeley,BBBombBB,NA,26112075,bbbombbb,13,0,0,13
Berkeley,codysun,NA,20533841,codysun,268,0,0,269
